title_id,quarter_start_date,first_day_in_KU,last_day_in_KU,avg_units_sold_in_preceding_90_days,active_in_prime_reading,genre
0,4/1/18,4/1/18,6/30/19,1.422222222,0,nonfiction
0,7/1/18,4/1/18,6/30/19,1.145454545,1,nonfiction
0,10/1/18,4/1/18,6/30/19,0.855555556,1,nonfiction
0,1/1/19,4/1/18,6/30/19,0.755555556,1,nonfiction
0,4/1/19,4/1/18,6/30/19,0.6,1,nonfiction
1,11/1/18,11/1/18,6/30/19,3.666666667,0,nonfiction
1,4/1/19,11/1/18,6/30/19,1.833333333,1,nonfiction
2,4/1/19,4/1/19,6/30/19,1.092105263,0,nonfiction
3,4/1/19,4/1/19,6/30/19,0.413333333,0,nonfiction
4,4/1/19,4/1/19,6/30/19,0.122222222,0,nonfiction
5,4/1/18,6/1/18,6/30/19,3.144444444,0,nonfiction
5,7/1/18,6/1/18,6/30/19,2.372881356,0,nonfiction
5,10/1/18,6/1/18,6/30/19,2.541176471,0,nonfiction
5,1/1/19,6/1/18,6/30/19,1.9,1,nonfiction
5,4/1/19,6/1/18,6/30/19,1.655555556,1,nonfiction
6,4/1/18,4/1/18,6/30/19,1.804878049,0,other fiction
6,7/1/18,4/1/18,6/30/19,1.766666667,0,other fiction
6,10/1/18,4/1/18,6/30/19,2.981481481,0,other fiction
6,1/1/19,4/1/18,6/30/19,0.888888889,1,other fiction
6,4/1/19,4/1/18,6/30/19,0.8,1,other fiction
7,4/1/19,4/1/19,6/30/19,0.688888889,0,nonfiction
8,4/1/19,4/1/19,6/30/19,1.3,0,nonfiction
9,4/1/19,4/1/19,6/30/19,0.855555556,0,nonfiction
10,4/1/19,4/1/19,6/30/19,0.433333333,0,nonfiction
11,4/1/18,4/1/18,6/30/19,1.055555556,1,nonfiction
11,7/1/18,4/1/18,6/30/19,4.2,1,nonfiction
11,10/1/18,4/1/18,6/30/19,0.888888889,1,nonfiction
11,1/1/19,4/1/18,6/30/19,0.555555556,1,nonfiction
11,4/1/19,4/1/18,6/30/19,0.533333333,1,nonfiction
12,4/1/19,4/1/19,6/30/19,0.733333333,0,nonfiction
13,4/1/19,4/1/19,6/30/19,0.1,0,nonfiction
14,4/1/19,4/1/19,6/30/19,0.133333333,0,mystery
15,4/1/19,4/1/19,6/30/19,4.534883721,1,mystery
16,4/1/19,4/1/19,6/30/19,2.533333333,0,other fiction
17,4/1/19,4/1/19,6/30/19,1.966666667,0,other fiction
18,4/1/19,4/1/19,6/30/19,0.144444444,1,nonfiction
19,1/1/19,1/1/19,6/30/19,0.033333333,1,nonfiction
19,4/1/19,1/1/19,6/30/19,0.373333333,1,nonfiction
20,4/1/19,4/1/19,6/30/19,0.044444444,0,nonfiction
21,4/1/19,4/1/19,6/30/19,1.222222222,0,kids
22,10/1/18,12/1/18,6/30/19,0.566666667,0,kids
22,1/1/19,12/1/18,6/30/19,0.855555556,0,kids
22,4/1/19,12/1/18,6/30/19,0.722222222,1,kids
23,4/1/19,4/1/19,6/30/19,1.388888889,0,kids
24,4/1/19,4/1/19,6/30/19,0.811111111,1,kids
